brick_id,x,y,z,length,width,height,orientation
374,0,600,3700,200,100,100,X-aligned
375,0,600,3800,200,100,100,X-aligned
376,0,600,3900,200,100,100,X-aligned
377,0,600,4000,200,100,100,X-aligned
378,0,600,4100,200,100,100,X-aligned
379,0,600,4200,200,100,100,X-aligned
380,0,600,4300,200,100,100,X-aligned
381,0,600,4400,200,100,100,X-aligned
382,0,600,4500,200,100,100,X-aligned
383,0,600,4600,200,100,100,X-aligned
384,0,600,4700,200,100,100,X-aligned
385,0,600,4800,200,100,100,X-aligned
386,0,600,4900,200,100,100,X-aligned
387,0,600,5000,200,100,100,X-aligned
388,0,600,5100,200,100,100,X-aligned
389,0,600,5200,200,100,100,X-aligned
390,0,600,5300,200,100,100,X-aligned
391,0,600,5400,200,100,100,X-aligned
392,0,600,5500,200,100,100,X-aligned
393,0,700,0,200,100,100,X-aligned
394,0,700,100,200,100,100,X-aligned
395,0,700,200,200,100,100,X-aligned
396,0,700,300,200,100,100,X-aligned
397,0,700,400,200,100,100,X-aligned
398,0,700,500,200,100,100,X-aligned
399,0,700,600,200,100,100,X-aligned
400,0,700,700,200,100,100,X-aligned
401,0,700,800,200,100,100,X-aligned
402,0,700,900,200,100,100,X-aligned
403,0,700,1000,200,100,100,X-aligned
404,0,700,1100,200,100,100,X-aligned
405,0,700,1200,200,100,100,X-aligned
406,0,700,1300,200,100,100,X-aligned
407,0,700,1400,200,100,100,X-aligned
408,0,700,1500,200,100,100,X-aligned
409,0,700,1600,200,100,100,X-aligned
410,0,700,1700,200,100,100,X-aligned
411,0,700,1800,200,100,100,X-aligned
412,0,700,1900,200,100,100,X-aligned
413,0,700,2000,200,100,100,X-aligned
414,0,700,2100,200,100,100,X-aligned
415,0,700,2200,200,100,100,X-aligned
416,0,700,2300,200,100,100,X-aligned
417,0,700,2400,200,100,100,X-aligned
418,0,700,2500,200,100,100,X-aligned
419,0,700,2600,200,100,100,X-aligned
420,0,700,2700,200,100,100,X-aligned
421,0,700,2800,200,100,100,X-aligned
